Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-06-26,denizli,,https://boxd.it/wynpq,haha pun

Position,Name,Year,URL,Description
1,Dancer in the Dark,2000,https://boxd.it/71E,
2,Grave of the Fireflies,1988,https://boxd.it/1RUM,
3,Beetlejuice,1988,https://boxd.it/24QI,
4,Doctor Who: The Time of the Doctor,2013,https://boxd.it/8JwG,
5,The Usual Suspects,1995,https://boxd.it/29XE,
6,Kramer vs. Kramer,1979,https://boxd.it/h0w,
7,Hidden Figures,2016,https://boxd.it/dgS4,
8,Pardon,2005,https://boxd.it/1j8,
9,12 Angry Men,1957,https://boxd.it/2auI,
