Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-07-14,Schindler's List,1993,https://boxd.it/31cyKp,5,,,2018-07-22
2022-07-14,Doctor Who: The Day of the Doctor,2013,https://boxd.it/31cyWF,5,,,2018-08-06
2022-07-14,Cosmos,2014,https://boxd.it/31cyVn,5,,,2018-09-01
2022-07-14,Thor: The Dark World,2013,https://boxd.it/31cyS9,5,,,2018-09-03
2022-07-14,The Man from Earth,2007,https://boxd.it/31cz7X,5,,,2018-09-03
2022-07-14,Star Trek Into Darkness,2013,https://boxd.it/31cyQ3,0.5,,,2018-09-06
2022-07-14,Terminator 2: Judgment Day,1991,https://boxd.it/31cyJB,4,,,2018-09-11
2022-07-14,The Terminator,1984,https://boxd.it/31czaR,3.5,,,2018-09-11
2022-07-14,Good Will Hunting,1997,https://boxd.it/31cyMv,5,,,2018-09-15
2023-12-09,Muslum,2018,https://boxd.it/5i0b9Z,,,,2018-12-31
2022-07-14,Forrest Gump,1994,https://boxd.it/31cyKJ,5,,,2019-07-19
2022-07-14,Contact,1997,https://boxd.it/31cyMl,5,,,2019-07-20
2022-07-14,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/31cyMP,0.5,,,2019-07-26
2022-07-14,The Truman Show,1998,https://boxd.it/31cyN9,5,,,2019-07-26
2022-07-14,Singin' in the Rain,1952,https://boxd.it/31cz29,5,,,2019-07-26
2022-07-14,"Good Morning, Vietnam",1987,https://boxd.it/31czbF,5,,,2019-07-26
2022-07-14,Watchmen,2009,https://boxd.it/31cz1v,5,,,2019-11-19
2022-07-14,The Brand New Testament,2015,https://boxd.it/31cz03,5,,,2020-02-19
2022-07-14,The Revenant,2015,https://boxd.it/31cyQn,3.5,,,2020-07-03
2022-07-14,The Hateful Eight,2015,https://boxd.it/31cyYL,4,,,2020-07-03
2022-07-14,No Country for Old Men,2007,https://boxd.it/31cz3B,3.5,,,2020-07-04
2022-07-14,Citizen Kane,1941,https://boxd.it/31cyYr,2,,,2020-07-05
2022-07-14,Inglourious Basterds,2009,https://boxd.it/31cyZf,4,,,2020-07-06
2022-07-14,Once Upon a Time... in Hollywood,2019,https://boxd.it/31cz6P,3.5,,,2020-07-07
2022-07-14,Up,2009,https://boxd.it/31cyJV,4,,,2020-07-09
2022-07-14,Inside Out,2015,https://boxd.it/31cyU5,3.5,,,2020-07-09
2022-07-14,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/31cz4f,3.5,,,2020-07-09
2022-07-14,Parasite,2019,https://boxd.it/31cz6l,4,,,2020-07-09
2022-07-14,Green Book,2018,https://boxd.it/31cz6v,4,,,2020-07-09
2022-07-14,City Lights,1931,https://boxd.it/31cyUJ,3.5,,,2020-07-18
2022-07-14,Modern Times,1936,https://boxd.it/31cyX9,3.5,,,2020-07-18
2022-07-14,The Great Dictator,1940,https://boxd.it/31cyY7,3,,,2020-07-18
2022-07-14,"The Good, the Bad and the Ugly",1966,https://boxd.it/31cz5H,3.5,,,2020-07-18
2022-07-14,Palm Springs,2020,https://boxd.it/31czbP,4,,,2020-07-18
2022-07-14,Dead Poets Society,1989,https://boxd.it/31czcD,4.5,,,2020-07-18
2022-07-14,The Butterfly Effect,2004,https://boxd.it/31cyXj,4,,,2020-07-20
2022-07-14,Reservoir Dogs,1992,https://boxd.it/31cyKf,4,,,2020-07-21
2022-07-14,Pulp Fiction,1994,https://boxd.it/31cyLn,4.5,,,2020-07-21
2022-07-14,The Shawshank Redemption,1994,https://boxd.it/31cyLx,3.5,,,2020-07-21
2022-07-14,Fargo,1996,https://boxd.it/31cyM1,3.5,,,2020-07-21
2022-07-14,Life Is Beautiful,1997,https://boxd.it/31cyMb,4.5,,,2020-07-21
2022-07-14,Titanic,1997,https://boxd.it/31cyMZ,3.5,,,2020-07-21
2022-07-14,The Green Mile,1999,https://boxd.it/31cyNj,4.5,,,2020-07-21
2022-07-14,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/31cyNt,4,,,2020-07-21
2022-07-14,Saving Private Ryan,1998,https://boxd.it/31cyND,4,,,2020-07-21
2022-07-14,Iron Man 3,2013,https://boxd.it/31cyOV,3.5,,,2020-07-21
