Date,Name,Year,Letterboxd URI
2022-06-05,"tick, tick... BOOM!",2021,https://boxd.it/jz2e
2022-06-05,Watchmen,2009,https://boxd.it/1QE4
2022-06-05,Hamilton,2020,https://boxd.it/kmvE
2022-06-05,The Truman Show,1998,https://boxd.it/18U8
2022-06-05,The Brand New Testament,2015,https://boxd.it/aPMO
2022-06-05,Dead Poets Society,1989,https://boxd.it/2aSg
2022-06-05,"Good Morning, Vietnam",1987,https://boxd.it/29Aq
2022-06-12,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2022-06-17,The Man from Earth,2007,https://boxd.it/1Ql2
2022-07-09,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-07-14,Good Will Hunting,1997,https://boxd.it/2ahY
2022-07-14,Doctor Who: The Day of the Doctor,2013,https://boxd.it/a4Bk
2022-07-14,Rent,2005,https://boxd.it/2844
2022-08-27,Contact,1997,https://boxd.it/29OM
2022-09-02,Groundhog Day,1993,https://boxd.it/2b3e
2024-04-15,Mean Girls,2004,https://boxd.it/1VNg
2024-05-20,Doctor Who: The Church on Ruby Road,2023,https://boxd.it/HDIG
2024-06-03,The Ballad of Russell & Julie,2011,https://boxd.it/A2qm
2025-06-15,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE
